Id,Name,Gender,Email,CompanyEmail,EmpPhone,FaxNumber,CitizenIdentification,RoleID,Role,DepID,Department,Location,University,Birthday,StartDay,OfficialDay,ContractStatus,ContractStartDay,ContractEndDay,BaseSalary,BankName,BankAccountNumber,GrossSalary,NetSalary,ProjectID,ProjectName,ProjectManager,ProjectStartDay,ProjectEndDay,ProjectStatus,Projectbudget,LinkCV,WorkingModel,Effort,WorkingTime,DateCreated,DateModified
4,Trương Thị Hương,Male,lmccrisken3@typepad.com,lmccrisken3@solutiondtk.com,+84 275-903-9947,10544-186,75936-117,1,Admin,1,Marketing,Hanoi,Universidad Autónoma de Zacatecas,1997-02-06,2021-05-15,2021-07-17,Infinity,2021-10-18,9999-01-01,22035217.28,HSBC,76214-046,17534881.75,8776528.62,1,SISS,Lezley McCrisken,2020-02-01,2022-11-01,In Progress,1525000000,https://1688.com/vulputate/elementum/nullam.png?nec=sapien&molestie=arcu&sed=sed&justo=augue&pellentesque=aliquam&viverra=erat&pede=volutpat&ac=in&diam=congue&cras=etiam&pellentesque=justo&volutpat=etiam&dui=pretium,Full time,100,Offline,2022-05-29,2022-06-28
5,Lưu Vy Yến Nhi,Female,dstockford4@redcross.org,dstockford4@solutiondtk.com,+84 880-580-7774,42421-815,49288-0849,2,Project Manager,4,Technology,Hanoi,University of Connecticut at Avery Point,1996-11-13,2021-06-03,2021-08-03,Infinity,2021-09-27,9999-01-01,16831131.67,HSBC,0603-7663,27842313.12,15327027.75,1,SISS,Lezley McCrisken,2020-02-01,2022-11-01,In Progress,1525000000,http://bloglines.com/pretium/iaculis/justo/in/hac/habitasse/platea.js?curae=pede&nulla=venenatis&dapibus=non&dolor=sodales&vel=sed&est=tincidunt&donec=eu&odio=felis&justo=fusce&sollicitudin=posuere&ut=felis&suscipit=sed&a=lacus&feugiat=morbi&et=sem&eros=mauris&vestibulum=laoreet&ac=ut&est=rhoncus&lacinia=aliquet&nisi=pulvinar&venenatis=sed&tristique=nisl&fusce=nunc&congue=rhoncus&diam=dui&id=vel&ornare=sem&imperdiet=sed&sapien=sagittis&urna=nam&pretium=congue&nisl=risus&ut=semper&volutpat=porta&sapien=volutpat&arcu=quam&sed=pede&augue=lobortis&aliquam=ligula&erat=sit&volutpat=amet&in=eleifend&congue=pede&etiam=libero&justo=quis&etiam=orci&pretium=nullam&iaculis=molestie&justo=nibh&in=in&hac=lectus&habitasse=pellentesque&platea=at&dictumst=nulla&etiam=suspendisse&faucibus=potenti&cursus=cras&urna=in&ut=purus&tellus=eu&nulla=magna&ut=vulputate&erat=luctus&id=cum&mauris=sociis&vulputate=natoque&elementum=penatibus&nullam=et&varius=magnis&nulla=dis&facilisi=parturient&cras=montes&non=nascetur&velit=ridiculus&nec=mus&nisi=vivamus&vulputate=vestibulum&nonummy=sagittis&maecenas=sapien&tincidunt=cum&lacus=sociis&at=natoque,Full time,80,Offline,2022-10-04,2022-08-27
7,Tần Thảo Vy,Male,lneligan6@google.fr,lneligan6@solutiondtk.com,+84 839-146-9388,10191-1045,58232-0751,4,HR,1,Sales,Da Nang,Université Dakar Bourguiba,1997-03-06,2021-01-11,2021-03-11,1 Year,2021-06-07,2021-11-08,21966295.77,HSBC,36987-1512,23159842.1,12015623.37,2,EMBI,Lorrie Neligan,2020-04-01,2022-10-01,Done,1210000000,https://github.io/pellentesque.png?turpis=ante&nec=vel&euismod=ipsum&scelerisque=praesent&quam=blandit&turpis=lacinia&adipiscing=erat&lorem=vestibulum&vitae=sed&mattis=magna&nibh=at&ligula=nunc&nec=commodo&sem=placerat&duis=praesent&aliquam=blandit&convallis=nam&nunc=nulla&proin=integer&at=pede&turpis=justo&a=lacinia&pede=eget&posuere=tincidunt&nonummy=eget&integer=tempus&non=vel&velit=pede&donec=morbi&diam=porttitor&neque=lorem&vestibulum=id&eget=ligula&vulputate=suspendisse&ut=ornare&ultrices=consequat&vel=lectus&augue=in&vestibulum=est&ante=risus&ipsum=auctor&primis=sed&in=tristique&faucibus=in&orci=tempus&luctus=sit&et=amet&ultrices=sem&posuere=fusce&cubilia=consequat&curae=nulla&donec=nisl&pharetra=nunc&magna=nisl&vestibulum=duis&aliquet=bibendum,Part time,100,Hybrid,2021-10-28,2022-06-14
9,Huỳnh Thương Hiền,Female,gdavenell8@hud.gov,gdavenell8@solutiondtk.com,+84 172-114-1864,66116-529,55154-6159,10,Designer,10,Management,Hanoi,National Dong Hwa University,1996-08-09,2020-05-02,2020-07-02,1 Year,2020-03-11,2022-12-03,24876811.05,HSBC,54738-903,14707312.81,9403003.63,1,SISS,Lezley McCrisken,2020-02-01,2022-11-01,In Progress,1525000000,https://eventbrite.com/metus/aenean/fermentum/donec/ut/mauris.json?donec=duis&semper=at&sapien=velit&a=eu&libero=est&nam=congue&dui=elementum&proin=in&leo=hac&odio=habitasse&porttitor=platea&id=dictumst&consequat=morbi&in=vestibulum&consequat=velit&ut=id&nulla=pretium&sed=iaculis&accumsan=diam&felis=erat&ut=fermentum&at=justo&dolor=nec&quis=condimentum&odio=neque&consequat=sapien&varius=placerat&integer=ante&ac=nulla&leo=justo&pellentesque=aliquam&ultrices=quis&mattis=turpis&odio=eget&donec=elit&vitae=sodales&nisi=scelerisque&nam=mauris&ultrices=sit&libero=amet&non=eros&mattis=suspendisse&pulvinar=accumsan&nulla=tortor&pede=quis&ullamcorper=turpis&augue=sed&a=ante&suscipit=vivamus&nulla=tortor&elit=duis&ac=mattis&nulla=egestas&sed=metus&vel=aenean&enim=fermentum&sit=donec&amet=ut&nunc=mauris&viverra=eget&dapibus=massa&nulla=tempor&suscipit=convallis&ligula=nulla&in=neque&lacus=libero&curabitur=convallis&at=eget&ipsum=eleifend&ac=luctus&tellus=ultricies&semper=eu&interdum=nibh&mauris=quisque&ullamcorper=id&purus=justo&sit=sit&amet=amet&nulla=sapien&quisque=dignissim&arcu=vestibulum&libero=vestibulum&rutrum=ante&ac=ipsum&lobortis=primis&vel=in&dapibus=faucibus&at=orci&diam=luctus&nam=et&tristique=ultrices&tortor=posuere,Full time,100,Hybrid,2022-03-05,2021-12-26
11,Nguyễn Thị Hạnh,Female,ckenziea@dedecms.com,ckenziea@solutiondtk.com,+84 332-166-6175,42507-332,51596-009,6,Digital Marketing,6,Marketing,Da Nang,University Of Medical Sciences & Technology (UMST),1998-01-19,2020-08-29,2020-10-29,Probation,2021-08-31,2022-11-28,16834288.42,HSBC,0071-1020,24428256.73,10931088.17,3,INDEN,Chastity Kenzie,2020-02-01,2022-08-01,Done,1255000000,http://163.com/morbi/ut.aspx?quis=sed&turpis=nisl&sed=nunc&ante=rhoncus&vivamus=dui&tortor=vel&duis=sem&mattis=sed&egestas=sagittis&metus=nam&aenean=congue&fermentum=risus&donec=semper&ut=porta&mauris=volutpat&eget=quam&massa=pede&tempor=lobortis&convallis=ligula&nulla=sit&neque=amet&libero=eleifend&convallis=pede&eget=libero&eleifend=quis&luctus=orci&ultricies=nullam&eu=molestie&nibh=nibh&quisque=in&id=lectus&justo=pellentesque&sit=at&amet=nulla&sapien=suspendisse&dignissim=potenti&vestibulum=cras&vestibulum=in&ante=purus&ipsum=eu&primis=magna&in=vulputate&faucibus=luctus&orci=cum&luctus=sociis&et=natoque&ultrices=penatibus&posuere=et&cubilia=magnis&curae=dis&nulla=parturient&dapibus=montes&dolor=nascetur&vel=ridiculus&est=mus&donec=vivamus&odio=vestibulum&justo=sagittis&sollicitudin=sapien&ut=cum&suscipit=sociis&a=natoque&feugiat=penatibus&et=et&eros=magnis&vestibulum=dis&ac=parturient&est=montes&lacinia=nascetur&nisi=ridiculus&venenatis=mus&tristique=etiam&fusce=vel&congue=augue&diam=vestibulum&id=rutrum&ornare=rutrum&imperdiet=neque&sapien=aenean&urna=auctor&pretium=gravida&nisl=sem&ut=praesent&volutpat=id&sapien=massa&arcu=id&sed=nisl&augue=venenatis&aliquam=lacinia&erat=aenean,Part time,80,Hybrid,2022-01-05,2022-08-14
12,Trần Ngọc Ngân Quỳnh,Female,jsconceb@privacy.gov.au,jsconceb@solutiondtk.com,+84 303-394-8918,22431-583,0078-0519,3,Accountant,4,Technology,Hanoi,Thiagarajar College of Engineering,2000-07-19,2022-04-06,2022-06-06,Infinity,2021-12-19,9999-01-01,14182050.28,HSBC,10742-8359,22032604.27,7011665.69,3,INDEN,Chastity Kenzie,2020-02-01,2022-08-01,Done,1255000000,https://ocn.ne.jp/curabitur/gravida.png?pharetra=amet&magna=cursus&ac=id&consequat=turpis&metus=integer&sapien=aliquet&ut=massa&nunc=id&vestibulum=lobortis&ante=convallis&ipsum=tortor&primis=risus&in=dapibus&faucibus=augue&orci=vel&luctus=accumsan&et=tellus&ultrices=nisi&posuere=eu&cubilia=orci&curae=mauris&mauris=lacinia&viverra=sapien&diam=quis&vitae=libero&quam=nullam&suspendisse=sit&potenti=amet&nullam=turpis&porttitor=elementum&lacus=ligula&at=vehicula&turpis=consequat&donec=morbi&posuere=a&metus=ipsum&vitae=integer&ipsum=a&aliquam=nibh&non=in&mauris=quis&morbi=justo&non=maecenas&lectus=rhoncus&aliquam=aliquam&sit=lacus&amet=morbi&diam=quis&in=tortor&magna=id,Part time,80,Online,2021-12-22,2022-07-14
15,Lê Nguyễn Ngọc Ngân,Male,hpatingtone@google.co.uk,hpatingtone@solutiondtk.com,+84 515-612-4953,55289-505,0574-0150,6,Digital Marketing,7,Sales,Ho Chi Minh,University of Rajshahi,1999-09-18,2020-07-27,2020-09-27,Probation,2020-06-04,2021-10-29,24570742.67,HSBC,36987-2613,23786141.9,15731810.3,1,SISS,Lezley McCrisken,2020-02-01,2022-11-01,In Progress,1525000000,http://squarespace.com/vivamus/metus/arcu/adipiscing/molestie.json?ut=vestibulum&odio=ante&cras=ipsum&mi=primis&pede=in&malesuada=faucibus&in=orci&imperdiet=luctus&et=et&commodo=ultrices&vulputate=posuere&justo=cubilia&in=curae&blandit=duis&ultrices=faucibus&enim=accumsan&lorem=odio&ipsum=curabitur&dolor=convallis&sit=duis&amet=consequat&consectetuer=dui&adipiscing=nec&elit=nisi&proin=volutpat&interdum=eleifend&mauris=donec&non=ut&ligula=dolor&pellentesque=morbi&ultrices=vel&phasellus=lectus&id=in&sapien=quam&in=fringilla&sapien=rhoncus&iaculis=mauris&congue=enim&vivamus=leo&metus=rhoncus&arcu=sed&adipiscing=vestibulum&molestie=sit&hendrerit=amet&at=cursus&vulputate=id&vitae=turpis&nisl=integer&aenean=aliquet&lectus=massa&pellentesque=id&eget=lobortis&nunc=convallis&donec=tortor&quis=risus&orci=dapibus&eget=augue&orci=vel&vehicula=accumsan&condimentum=tellus&curabitur=nisi&in=eu&libero=orci&ut=mauris&massa=lacinia&volutpat=sapien&convallis=quis&morbi=libero&odio=nullam&odio=sit&elementum=amet&eu=turpis&interdum=elementum&eu=ligula&tincidunt=vehicula&in=consequat&leo=morbi,Part time,100,Online,2021-11-28,2021-08-11
16,Vũ Thị Phương Dung,Male,wjohnseyf@jimdo.com,wjohnseyf@solutiondtk.com,+84 303-385-9912,13668-156,37000-110,8,Content Marketing,7,Sales,Hanoi,Universidad Técnica de Ambato,1999-09-18,2022-07-09,2022-09-09,Infinity,2021-03-10,9999-01-01,15134705.04,HSBC,50563-300,25885993.96,11690739.12,1,SISS,Lezley McCrisken,2020-02-01,2022-11-01,In Progress,1525000000,http://liveinternet.ru/dapibus/nulla/suscipit/ligula/in/lacus/curabitur.jpg?in=pede&hac=posuere&habitasse=nonummy&platea=integer&dictumst=non&etiam=velit&faucibus=donec&cursus=diam&urna=neque,Part time,100,Offline,2022-08-22,2022-07-15
17,Hà Tiểu Phương,Female,lknowlsong@epa.gov,lknowlsong@solutiondtk.com,+84 941-481-8246,46414-7777,0143-9729,7,Content Marketing,11,Management,Ho Chi Minh,Sultan Mizan Zainal Abidin Polytechnic,1996-08-05,2020-10-28,2020-12-28,Infinity,2020-06-23,9999-01-01,24072196.17,HSBC,55714-2001,27804617.17,20687577.65,1,SISS,Lezley McCrisken,2020-02-01,2022-11-01,In Progress,1525000000,http://google.es/dictumst.json?tortor=eget&risus=vulputate&dapibus=ut&augue=ultrices&vel=vel&accumsan=augue&tellus=vestibulum&nisi=ante&eu=ipsum&orci=primis&mauris=in&lacinia=faucibus&sapien=orci&quis=luctus&libero=et&nullam=ultrices&sit=posuere&amet=cubilia&turpis=curae,Part time,100,Offline,2022-01-23,2022-07-15
18,Nguyễn Võ Phương Uyên,Polygender,csanchish@360.cn,csanchish@solutiondtk.com,+84 997-244-6079,58518-010,53208-475,3,Accountant,8,Sales,Ho Chi Minh,Bluefield College,1999-08-12,2021-03-29,2021-05-29,1 Year,2021-10-03,2022-10-24,19577828.95,HSBC,50436-0193,16879787.03,16353138.85,3,INDEN,Chastity Kenzie,2020-02-01,2022-08-01,Done,1255000000,https://printfriendly.com/at/dolor/quis.json?eu=parturient&nibh=montes&quisque=nascetur&id=ridiculus&justo=mus&sit=etiam&amet=vel&sapien=augue&dignissim=vestibulum&vestibulum=rutrum&vestibulum=rutrum&ante=neque&ipsum=aenean&primis=auctor&in=gravida&faucibus=sem&orci=praesent&luctus=id&et=massa&ultrices=id&posuere=nisl&cubilia=venenatis&curae=lacinia&nulla=aenean&dapibus=sit&dolor=amet&vel=justo&est=morbi&donec=ut&odio=odio&justo=cras&sollicitudin=mi&ut=pede&suscipit=malesuada&a=in&feugiat=imperdiet&et=et&eros=commodo&vestibulum=vulputate&ac=justo&est=in&lacinia=blandit&nisi=ultrices&venenatis=enim&tristique=lorem&fusce=ipsum&congue=dolor&diam=sit&id=amet&ornare=consectetuer&imperdiet=adipiscing&sapien=elit&urna=proin&pretium=interdum&nisl=mauris&ut=non&volutpat=ligula&sapien=pellentesque&arcu=ultrices&sed=phasellus&augue=id&aliquam=sapien&erat=in&volutpat=sapien&in=iaculis&congue=congue&etiam=vivamus&justo=metus&etiam=arcu&pretium=adipiscing&iaculis=molestie&justo=hendrerit&in=at&hac=vulputate&habitasse=vitae&platea=nisl&dictumst=aenean&etiam=lectus,Part time,100,Online,2021-10-11,2022-12-07
